review,rating,date,bank,source,sentiment,confidence
Super fast transaction processing. Saved me a lot of time.,5,2026-02-18,CBE,Google Play,POSITIVE,0.9696264863014221
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-01-07,CBE,Google Play,NEGATIVE,0.9984906911849976
"Good app, transfer speed is much faster now after the recent update.",4,2026-01-18,CBE,Google Play,POSITIVE,0.9989547729492188
Very slow authentication process. Fix the login screen loop.,1,2026-01-01,CBE,Google Play,NEGATIVE,0.9994550347328186
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-03-29,CBE,Google Play,POSITIVE,0.9998102784156799
Highly secure and extremely user friendly interface. Perfect job.,5,2026-03-17,CBE,Google Play,POSITIVE,0.9997780919075012
Service is acceptable but transaction fees are getting too high.,3,2026-03-10,CBE,Google Play,NEGATIVE,0.9991235136985779
It is okay but Telebirr is much faster than this app interface.,3,2026-04-29,CBE,Google Play,POSITIVE,0.9967328310012817
Super fast transaction processing. Saved me a lot of time.,5,2026-04-06,CBE,Google Play,POSITIVE,0.9696264863014221
Fantastic banking experience. Transactions are instant and reliable.,5,2026-05-01,CBE,Google Play,POSITIVE,0.9998776912689209
"Good app, transfer speed is much faster now after the recent update.",4,2026-02-02,CBE,Google Play,POSITIVE,0.9989547729492188
Easy to send money to other banks. Good work on the features.,4,2026-04-12,CBE,Google Play,POSITIVE,0.9997137188911438
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-05-01,CBE,Google Play,POSITIVE,0.9998102784156799
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-19,CBE,Google Play,POSITIVE,0.9997780919075012
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-01-28,CBE,Google Play,POSITIVE,0.9998102784156799
Very slow authentication process. Fix the login screen loop.,1,2026-04-17,CBE,Google Play,NEGATIVE,0.9994550347328186
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-01-18,CBE,Google Play,NEGATIVE,0.9997976422309875
Service is acceptable but transaction fees are getting too high.,3,2026-02-02,CBE,Google Play,NEGATIVE,0.9991235136985779
"It works sometimes, but mostly gives a connection timeout error.",2,2026-02-04,CBE,Google Play,NEGATIVE,0.9973056316375732
Very slow authentication process. Fix the login screen loop.,1,2026-02-19,CBE,Google Play,NEGATIVE,0.9994550347328186
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-04-16,CBE,Google Play,POSITIVE,0.9998102784156799
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-02-28,CBE,Google Play,NEGATIVE,0.9984906911849976
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-01-27,CBE,Google Play,NEGATIVE,0.9984906911849976
Average app. It serves the basic purpose of checking balances.,3,2026-04-09,CBE,Google Play,NEGATIVE,0.9823229908943176
Fantastic banking experience. Transactions are instant and reliable.,5,2026-05-06,CBE,Google Play,POSITIVE,0.9998776912689209
The system is down completely when I try to pay at a merchant counter.,1,2026-01-29,CBE,Google Play,NEGATIVE,0.9997826218605042
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-03-28,CBE,Google Play,NEGATIVE,0.9997976422309875
Love the new UI updates. Everything is seamless and responsive.,5,2026-01-19,CBE,Google Play,POSITIVE,0.9998515844345093
Reliable app for daily banking transactions. Recommended.,4,2026-03-31,CBE,Google Play,POSITIVE,0.9996591806411743
Super fast transaction processing. Saved me a lot of time.,5,2026-01-04,CBE,Google Play,POSITIVE,0.9696264863014221
Service is acceptable but transaction fees are getting too high.,3,2026-05-10,CBE,Google Play,NEGATIVE,0.9991235136985779
It is okay but Telebirr is much faster than this app interface.,3,2026-02-05,CBE,Google Play,POSITIVE,0.9967328310012817
"Good app, transfer speed is much faster now after the recent update.",4,2026-03-26,CBE,Google Play,POSITIVE,0.9989547729492188
Easy to send money to other banks. Good work on the features.,4,2026-01-18,CBE,Google Play,POSITIVE,0.9997137188911438
Transfer is fine but airtime topup is completely broken right now.,3,2026-01-18,CBE,Google Play,NEGATIVE,0.9915052056312561
Reliable app for daily banking transactions. Recommended.,4,2026-01-15,CBE,Google Play,POSITIVE,0.9996591806411743
App keeps crashing after the latest update. Very frustrating.,1,2026-04-13,CBE,Google Play,NEGATIVE,0.9988941550254822
Super fast transaction processing. Saved me a lot of time.,5,2026-04-13,CBE,Google Play,POSITIVE,0.9696264863014221
"It works sometimes, but mostly gives a connection timeout error.",2,2026-03-10,CBE,Google Play,NEGATIVE,0.9973056316375732
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-01-26,CBE,Google Play,NEGATIVE,0.9997976422309875
It is okay but Telebirr is much faster than this app interface.,3,2026-01-29,CBE,Google Play,POSITIVE,0.9967328310012817
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-05-10,CBE,Google Play,NEGATIVE,0.9984906911849976
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-01-18,CBE,Google Play,NEGATIVE,0.9984906911849976
Transfer is fine but airtime topup is completely broken right now.,3,2026-04-10,CBE,Google Play,NEGATIVE,0.9915052056312561
The user interface is confusing. It takes too many steps to send money.,2,2026-01-19,CBE,Google Play,NEGATIVE,0.999772846698761
Love the new UI updates. Everything is seamless and responsive.,5,2026-03-14,CBE,Google Play,POSITIVE,0.9998515844345093
Takes too long to load my balance statement. Needs optimization.,2,2026-05-05,CBE,Google Play,NEGATIVE,0.9996730089187622
Fantastic banking experience. Transactions are instant and reliable.,5,2026-02-26,CBE,Google Play,POSITIVE,0.9998776912689209
Reliable app for daily banking transactions. Recommended.,4,2026-04-23,CBE,Google Play,POSITIVE,0.9996591806411743
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-03-11,CBE,Google Play,NEGATIVE,0.9984906911849976
Love the new UI updates. Everything is seamless and responsive.,5,2026-03-21,CBE,Google Play,POSITIVE,0.9998515844345093
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-02-21,CBE,Google Play,NEGATIVE,0.9997976422309875
Takes too long to load my balance statement. Needs optimization.,2,2026-04-26,CBE,Google Play,NEGATIVE,0.9996730089187622
Very convenient for paying utility bills from home. Satisfied.,4,2026-04-16,CBE,Google Play,POSITIVE,0.9979442954063416
Takes too long to load my balance statement. Needs optimization.,2,2026-02-15,CBE,Google Play,NEGATIVE,0.9996730089187622
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-02-26,CBE,Google Play,NEGATIVE,0.9984906911849976
Super fast transaction processing. Saved me a lot of time.,5,2026-01-28,CBE,Google Play,POSITIVE,0.9696264863014221
Very slow authentication process. Fix the login screen loop.,1,2026-03-09,CBE,Google Play,NEGATIVE,0.9994550347328186
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-05-05,CBE,Google Play,NEGATIVE,0.9961382746696472
It is okay but Telebirr is much faster than this app interface.,3,2026-04-02,CBE,Google Play,POSITIVE,0.9967328310012817
Very slow authentication process. Fix the login screen loop.,1,2026-04-08,CBE,Google Play,NEGATIVE,0.9994550347328186
Fantastic banking experience. Transactions are instant and reliable.,5,2026-01-25,CBE,Google Play,POSITIVE,0.9998776912689209
Average app. It serves the basic purpose of checking balances.,3,2026-03-17,CBE,Google Play,NEGATIVE,0.9823229908943176
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-03-24,CBE,Google Play,NEGATIVE,0.9997976422309875
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-04-29,CBE,Google Play,NEGATIVE,0.9997976422309875
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-03-15,CBE,Google Play,POSITIVE,0.9994304776191711
Average app. It serves the basic purpose of checking balances.,3,2026-03-15,CBE,Google Play,NEGATIVE,0.9823229908943176
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-03-12,CBE,Google Play,POSITIVE,0.9998102784156799
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-05-03,CBE,Google Play,POSITIVE,0.9998102784156799
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-03-12,CBE,Google Play,NEGATIVE,0.9997976422309875
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-03-22,CBE,Google Play,POSITIVE,0.9998102784156799
Super fast transaction processing. Saved me a lot of time.,5,2026-01-29,CBE,Google Play,POSITIVE,0.9696264863014221
Very slow authentication process. Fix the login screen loop.,1,2026-04-12,CBE,Google Play,NEGATIVE,0.9994550347328186
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-01-02,CBE,Google Play,NEGATIVE,0.9997976422309875
The system is down completely when I try to pay at a merchant counter.,1,2026-03-05,CBE,Google Play,NEGATIVE,0.9997826218605042
Transfer is fine but airtime topup is completely broken right now.,3,2026-01-23,CBE,Google Play,NEGATIVE,0.9915052056312561
Very slow authentication process. Fix the login screen loop.,1,2026-04-16,CBE,Google Play,NEGATIVE,0.9994550347328186
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-02-22,CBE,Google Play,NEGATIVE,0.9961382746696472
"It works sometimes, but mostly gives a connection timeout error.",2,2026-05-10,CBE,Google Play,NEGATIVE,0.9973056316375732
App features are okay but the notifications lag behind considerably.,2,2026-01-22,CBE,Google Play,NEGATIVE,0.9940475225448608
Very convenient for paying utility bills from home. Satisfied.,4,2026-02-21,CBE,Google Play,POSITIVE,0.9979442954063416
Highly secure and extremely user friendly interface. Perfect job.,5,2026-05-07,CBE,Google Play,POSITIVE,0.9997780919075012
Very convenient for paying utility bills from home. Satisfied.,4,2026-03-13,CBE,Google Play,POSITIVE,0.9979442954063416
Average app. It serves the basic purpose of checking balances.,3,2026-01-28,CBE,Google Play,NEGATIVE,0.9823229908943176
App features are okay but the notifications lag behind considerably.,2,2026-01-17,CBE,Google Play,NEGATIVE,0.9940475225448608
Easy to send money to other banks. Good work on the features.,4,2026-02-25,CBE,Google Play,POSITIVE,0.9997137188911438
Easy to send money to other banks. Good work on the features.,4,2026-04-02,CBE,Google Play,POSITIVE,0.9997137188911438
Super fast transaction processing. Saved me a lot of time.,5,2026-01-17,CBE,Google Play,POSITIVE,0.9696264863014221
App features are okay but the notifications lag behind considerably.,2,2026-04-23,CBE,Google Play,NEGATIVE,0.9940475225448608
Fantastic banking experience. Transactions are instant and reliable.,5,2026-01-19,CBE,Google Play,POSITIVE,0.9998776912689209
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-02-28,CBE,Google Play,POSITIVE,0.9994304776191711
Easy to send money to other banks. Good work on the features.,4,2026-03-24,CBE,Google Play,POSITIVE,0.9997137188911438
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-02-18,CBE,Google Play,NEGATIVE,0.9997976422309875
Super fast transaction processing. Saved me a lot of time.,5,2026-03-18,CBE,Google Play,POSITIVE,0.9696264863014221
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-03-10,CBE,Google Play,NEGATIVE,0.9984906911849976
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-12,CBE,Google Play,POSITIVE,0.9997780919075012
Reliable app for daily banking transactions. Recommended.,4,2026-01-09,CBE,Google Play,POSITIVE,0.9996591806411743
Transfer is fine but airtime topup is completely broken right now.,3,2026-02-10,CBE,Google Play,NEGATIVE,0.9915052056312561
Service is acceptable but transaction fees are getting too high.,3,2026-01-27,CBE,Google Play,NEGATIVE,0.9991235136985779
The system is down completely when I try to pay at a merchant counter.,1,2026-03-26,CBE,Google Play,NEGATIVE,0.9997826218605042
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-04-11,CBE,Google Play,POSITIVE,0.9998102784156799
App keeps crashing after the latest update. Very frustrating.,1,2026-04-22,CBE,Google Play,NEGATIVE,0.9988941550254822
The system is down completely when I try to pay at a merchant counter.,1,2026-03-22,CBE,Google Play,NEGATIVE,0.9997826218605042
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-01-13,CBE,Google Play,NEGATIVE,0.9997976422309875
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-04-26,CBE,Google Play,POSITIVE,0.9994304776191711
Takes too long to load my balance statement. Needs optimization.,2,2026-01-31,CBE,Google Play,NEGATIVE,0.9996730089187622
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-04-16,CBE,Google Play,NEGATIVE,0.9961382746696472
App keeps crashing after the latest update. Very frustrating.,1,2026-01-22,CBE,Google Play,NEGATIVE,0.9988941550254822
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-05-10,CBE,Google Play,POSITIVE,0.9994304776191711
Highly secure and extremely user friendly interface. Perfect job.,5,2026-01-22,CBE,Google Play,POSITIVE,0.9997780919075012
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-01-05,CBE,Google Play,NEGATIVE,0.9997976422309875
Fantastic banking experience. Transactions are instant and reliable.,5,2026-04-02,CBE,Google Play,POSITIVE,0.9998776912689209
Very slow authentication process. Fix the login screen loop.,1,2026-02-09,CBE,Google Play,NEGATIVE,0.9994550347328186
Service is acceptable but transaction fees are getting too high.,3,2026-05-10,CBE,Google Play,NEGATIVE,0.9991235136985779
Easy to send money to other banks. Good work on the features.,4,2026-01-01,CBE,Google Play,POSITIVE,0.9997137188911438
Reliable app for daily banking transactions. Recommended.,4,2026-01-30,CBE,Google Play,POSITIVE,0.9996591806411743
App keeps crashing after the latest update. Very frustrating.,1,2026-01-06,CBE,Google Play,NEGATIVE,0.9988941550254822
Transfer is fine but airtime topup is completely broken right now.,3,2026-04-10,CBE,Google Play,NEGATIVE,0.9915052056312561
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-27,CBE,Google Play,POSITIVE,0.9997780919075012
The system is down completely when I try to pay at a merchant counter.,1,2026-02-27,CBE,Google Play,NEGATIVE,0.9997826218605042
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-03-08,CBE,Google Play,NEGATIVE,0.9984906911849976
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-03-05,CBE,Google Play,POSITIVE,0.9994304776191711
Easy to send money to other banks. Good work on the features.,4,2026-02-18,CBE,Google Play,POSITIVE,0.9997137188911438
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-03-08,CBE,Google Play,NEGATIVE,0.9961382746696472
Reliable app for daily banking transactions. Recommended.,4,2026-01-05,CBE,Google Play,POSITIVE,0.9996591806411743
The system is down completely when I try to pay at a merchant counter.,1,2026-04-21,CBE,Google Play,NEGATIVE,0.9997826218605042
The user interface is confusing. It takes too many steps to send money.,2,2026-01-06,CBE,Google Play,NEGATIVE,0.999772846698761
Average app. It serves the basic purpose of checking balances.,3,2026-01-05,CBE,Google Play,NEGATIVE,0.9823229908943176
The user interface is confusing. It takes too many steps to send money.,2,2026-03-13,CBE,Google Play,NEGATIVE,0.999772846698761
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-01-15,CBE,Google Play,POSITIVE,0.9998102784156799
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-03-20,CBE,Google Play,NEGATIVE,0.9984906911849976
It is okay but Telebirr is much faster than this app interface.,3,2026-04-02,CBE,Google Play,POSITIVE,0.9967328310012817
Very slow authentication process. Fix the login screen loop.,1,2026-01-25,CBE,Google Play,NEGATIVE,0.9994550347328186
Service is acceptable but transaction fees are getting too high.,3,2026-04-05,CBE,Google Play,NEGATIVE,0.9991235136985779
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-04-26,CBE,Google Play,NEGATIVE,0.9984906911849976
Love the new UI updates. Everything is seamless and responsive.,5,2026-02-06,CBE,Google Play,POSITIVE,0.9998515844345093
Easy to send money to other banks. Good work on the features.,4,2026-01-21,CBE,Google Play,POSITIVE,0.9997137188911438
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-02-01,CBE,Google Play,POSITIVE,0.9994304776191711
Transfer is fine but airtime topup is completely broken right now.,3,2026-03-31,CBE,Google Play,NEGATIVE,0.9915052056312561
"Good app, transfer speed is much faster now after the recent update.",4,2026-02-22,CBE,Google Play,POSITIVE,0.9989547729492188
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-02-07,CBE,Google Play,POSITIVE,0.9998102784156799
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-02-16,CBE,Google Play,POSITIVE,0.9998102784156799
Super fast transaction processing. Saved me a lot of time.,5,2026-03-18,CBE,Google Play,POSITIVE,0.9696264863014221
Super fast transaction processing. Saved me a lot of time.,5,2026-01-26,CBE,Google Play,POSITIVE,0.9696264863014221
App keeps crashing after the latest update. Very frustrating.,1,2026-03-18,CBE,Google Play,NEGATIVE,0.9988941550254822
The system is down completely when I try to pay at a merchant counter.,1,2026-03-04,CBE,Google Play,NEGATIVE,0.9997826218605042
Very slow authentication process. Fix the login screen loop.,1,2026-05-07,CBE,Google Play,NEGATIVE,0.9994550347328186
App features are okay but the notifications lag behind considerably.,2,2026-05-01,CBE,Google Play,NEGATIVE,0.9940475225448608
Very slow authentication process. Fix the login screen loop.,1,2026-04-14,CBE,Google Play,NEGATIVE,0.9994550347328186
The user interface is confusing. It takes too many steps to send money.,2,2026-01-09,CBE,Google Play,NEGATIVE,0.999772846698761
It is okay but Telebirr is much faster than this app interface.,3,2026-03-12,CBE,Google Play,POSITIVE,0.9967328310012817
Super fast transaction processing. Saved me a lot of time.,5,2026-02-24,CBE,Google Play,POSITIVE,0.9696264863014221
Service is acceptable but transaction fees are getting too high.,3,2026-05-08,CBE,Google Play,NEGATIVE,0.9991235136985779
Very slow authentication process. Fix the login screen loop.,1,2026-01-17,CBE,Google Play,NEGATIVE,0.9994550347328186
"It works sometimes, but mostly gives a connection timeout error.",2,2026-01-30,CBE,Google Play,NEGATIVE,0.9973056316375732
The user interface is confusing. It takes too many steps to send money.,2,2026-02-05,CBE,Google Play,NEGATIVE,0.999772846698761
Transfer is fine but airtime topup is completely broken right now.,3,2026-03-28,CBE,Google Play,NEGATIVE,0.9915052056312561
Transfer is fine but airtime topup is completely broken right now.,3,2026-03-17,CBE,Google Play,NEGATIVE,0.9915052056312561
Takes too long to load my balance statement. Needs optimization.,2,2026-01-03,CBE,Google Play,NEGATIVE,0.9996730089187622
The mobile app transfers fail often. Customer service doesn't help.,2,2026-01-13,CBE,Google Play,NEGATIVE,0.9989086389541626
App keeps crashing after the latest update. Very frustrating.,1,2026-03-07,CBE,Google Play,NEGATIVE,0.9988941550254822
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-03-05,CBE,Google Play,NEGATIVE,0.9984906911849976
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-15,CBE,Google Play,POSITIVE,0.9997780919075012
Easy to send money to other banks. Good work on the features.,4,2026-05-07,CBE,Google Play,POSITIVE,0.9997137188911438
Fantastic banking experience. Transactions are instant and reliable.,5,2026-01-23,CBE,Google Play,POSITIVE,0.9998776912689209
Reliable app for daily banking transactions. Recommended.,4,2026-01-03,CBE,Google Play,POSITIVE,0.9996591806411743
Fantastic banking experience. Transactions are instant and reliable.,5,2026-01-19,CBE,Google Play,POSITIVE,0.9998776912689209
Very convenient for paying utility bills from home. Satisfied.,4,2026-04-17,CBE,Google Play,POSITIVE,0.9979442954063416
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-03-11,CBE,Google Play,POSITIVE,0.9998102784156799
The system is down completely when I try to pay at a merchant counter.,1,2026-03-05,CBE,Google Play,NEGATIVE,0.9997826218605042
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-04-30,CBE,Google Play,POSITIVE,0.9998102784156799
Easy to send money to other banks. Good work on the features.,4,2026-02-27,CBE,Google Play,POSITIVE,0.9997137188911438
Very convenient for paying utility bills from home. Satisfied.,4,2026-04-27,CBE,Google Play,POSITIVE,0.9979442954063416
Unable to transfer money. It says transaction failed but takes my balance.,1,2026-04-15,CBE,Google Play,NEGATIVE,0.9984906911849976
Fantastic banking experience. Transactions are instant and reliable.,5,2026-02-10,CBE,Google Play,POSITIVE,0.9998776912689209
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-03-01,CBE,Google Play,NEGATIVE,0.9997976422309875
Love the new UI updates. Everything is seamless and responsive.,5,2026-04-08,CBE,Google Play,POSITIVE,0.9998515844345093
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-04-30,CBE,Google Play,POSITIVE,0.9994304776191711
Love the new UI updates. Everything is seamless and responsive.,5,2026-03-20,CBE,Google Play,POSITIVE,0.9998515844345093
Love the new UI updates. Everything is seamless and responsive.,5,2026-04-08,CBE,Google Play,POSITIVE,0.9998515844345093
Highly secure and extremely user friendly interface. Perfect job.,5,2026-04-15,CBE,Google Play,POSITIVE,0.9997780919075012
Transfer is fine but airtime topup is completely broken right now.,3,2026-03-16,CBE,Google Play,NEGATIVE,0.9915052056312561
Love the new UI updates. Everything is seamless and responsive.,5,2026-04-03,CBE,Google Play,POSITIVE,0.9998515844345093
"Good app, transfer speed is much faster now after the recent update.",4,2026-03-18,CBE,Google Play,POSITIVE,0.9989547729492188
The system is down completely when I try to pay at a merchant counter.,1,2026-03-09,CBE,Google Play,NEGATIVE,0.9997826218605042
Fantastic banking experience. Transactions are instant and reliable.,5,2026-04-11,CBE,Google Play,POSITIVE,0.9998776912689209
Fantastic banking experience. Transactions are instant and reliable.,5,2026-02-25,CBE,Google Play,POSITIVE,0.9998776912689209
App features are okay but the notifications lag behind considerably.,2,2026-02-26,CBE,Google Play,NEGATIVE,0.9940475225448608
Takes too long to load my balance statement. Needs optimization.,2,2026-01-19,CBE,Google Play,NEGATIVE,0.9996730089187622
Highly secure and extremely user friendly interface. Perfect job.,5,2026-02-11,CBE,Google Play,POSITIVE,0.9997780919075012
Service is acceptable but transaction fees are getting too high.,3,2026-05-10,CBE,Google Play,NEGATIVE,0.9991235136985779
Highly secure and extremely user friendly interface. Perfect job.,5,2026-03-31,CBE,Google Play,POSITIVE,0.9997780919075012
Very slow authentication process. Fix the login screen loop.,1,2026-01-27,CBE,Google Play,NEGATIVE,0.9994550347328186
App features are okay but the notifications lag behind considerably.,2,2026-01-24,CBE,Google Play,NEGATIVE,0.9940475225448608
Very convenient for paying utility bills from home. Satisfied.,4,2026-01-06,CBE,Google Play,POSITIVE,0.9979442954063416
The user interface is confusing. It takes too many steps to send money.,2,2026-04-23,CBE,Google Play,NEGATIVE,0.999772846698761
Super fast transaction processing. Saved me a lot of time.,5,2026-05-10,CBE,Google Play,POSITIVE,0.9696264863014221
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-05-10,CBE,Google Play,NEGATIVE,0.9961382746696472
Worst app ever. OTP code takes forever to arrive on my phone.,1,2026-02-11,CBE,Google Play,NEGATIVE,0.9997976422309875
App keeps crashing after the latest update. Very frustrating.,1,2026-01-21,CBE,Google Play,NEGATIVE,0.9988941550254822
Decent app but needs a dark mode option and a better dashboard layout.,3,2026-04-14,CBE,Google Play,NEGATIVE,0.9961382746696472
It is okay but Telebirr is much faster than this app interface.,3,2026-04-16,CBE,Google Play,POSITIVE,0.9967328310012817
The user interface is confusing. It takes too many steps to send money.,2,2026-02-04,CBE,Google Play,NEGATIVE,0.999772846698761
Super fast transaction processing. Saved me a lot of time.,5,2026-02-28,CBE,Google Play,POSITIVE,0.9696264863014221
Transfer is fine but airtime topup is completely broken right now.,3,2026-03-11,CBE,Google Play,NEGATIVE,0.9915052056312561
App features are okay but the notifications lag behind considerably.,2,2026-01-06,CBE,Google Play,NEGATIVE,0.9940475225448608
The system is down completely when I try to pay at a merchant counter.,1,2026-04-08,CBE,Google Play,NEGATIVE,0.9997826218605042
Easy to send money to other banks. Good work on the features.,4,2026-03-10,CBE,Google Play,POSITIVE,0.9997137188911438
The mobile app transfers fail often. Customer service doesn't help.,2,2026-01-06,CBE,Google Play,NEGATIVE,0.9989086389541626
Works smoothly on my phone. Fingerprint login is a great addition.,4,2026-03-01,CBE,Google Play,POSITIVE,0.9994304776191711
Fantastic banking experience. Transactions are instant and reliable.,5,2026-04-27,CBE,Google Play,POSITIVE,0.9998776912689209
App keeps crashing after the latest update. Very frustrating.,1,2026-03-28,CBE,Google Play,NEGATIVE,0.9988941550254822
The mobile app transfers fail often. Customer service doesn't help.,2,2026-02-18,CBE,Google Play,NEGATIVE,0.9989086389541626
Excellent mobile application! Best fintech app in Ethiopia right now.,5,2026-01-09,CBE,Google Play,POSITIVE,0.9998102784156799
Highly secure and extremely user friendly interface. Perfect job.,5,2026-01-23,CBE,Google Play,POSITIVE,0.9997780919075012
The user interface is confusing. It takes too many steps to send money.,2,2026-03-15,CBE,Google Play,NEGATIVE,0.999772846698761
Takes too long to load my balance statement. Needs optimization.,2,2026-01-08,CBE,Google Play,NEGATIVE,0.9996730089187622
Very slow authentication process. Fix the login screen loop.,1,2026-02-09,CBE,Google Play,NEGATIVE,0.9994550347328186
Very convenient for paying utility bills from home. Satisfied.,4,2026-01-07,CBE,Google Play,POSITIVE,0.9979442954063416
App keeps crashing after the latest update. Very frustrating.,1,2026-04-23,CBE,Google Play,NEGATIVE,0.9988941550254822
